Producing: JOB ID = 0, Burst Time = 29, Remaining Time = 29, Priority = 8 (jobs produced = 1, jobs in buffer = 1)
Thread 2 processes: JOB ID = 0, Start Time = 0, Remaining Time = 29, Priority = 8 (jobs removed = 0, jobs in buffer = 1)
Thread 3 removes: JOB ID = 0, Re-Start Time = 0, End Time = 4, Priority = 8 (jobs removed = 1, jobs in buffer = 0)
Producing: JOB ID = 1, Burst Time = 73, Remaining Time = 73, Priority = 8 (jobs produced = 2, jobs in buffer = 1)
Thread 1 processes: JOB ID = 1, Start Time = 0, Remaining Time = 73, Priority = 8 (jobs removed = 1, jobs in buffer = 1)
Thread 2 restarts and processes: JOB ID = 1, Re-Start Time = 25, Remaining Time = 48, Priority = 8 (jobs removed = 1, jobs in buffer = 1)
Thread 1 removes: JOB ID = 1, Re-Start Time = 25, End Time = 48, Priority = 8 (jobs removed = 2, jobs in buffer = 0)
Thread 1 removes: JOB ID = 2, Re-Start Time = 48, End Time = 72, Priority = 8 (jobs removed = 3, jobs in buffer = 0)
Producing: JOB ID = 2, Burst Time = 24, Remaining Time = 24, Priority = 8 (jobs produced = 3, jobs in buffer = 0)
Producing: JOB ID = 3, Burst Time = 56, Remaining Time = 56, Priority = 4 (jobs produced = 4, jobs in buffer = 1)
Thread 1 processes: JOB ID = 3, Start Time = 72, Remaining Time = 56, Priority = 4 (jobs removed = 3, jobs in buffer = 1)
Producing: JOB ID = 3, Burst Time = 56, Remaining Time = 31, Priority = 4 (jobs produced = 5, jobs in buffer = 2)
Thread 4 processes: JOB ID = 4, Start Time = 0, Remaining Time = 70, Priority = 2 (jobs removed = 3, jobs in buffer = 2)
Thread 1 restarts and processes: JOB ID = 4, Re-Start Time = 97, Remaining Time = 45, Priority = 2 (jobs removed = 3, jobs in buffer = 2)
Thread 4 removes: JOB ID = 4, Re-Start Time = 25, End Time = 45, Priority = 2 (jobs removed = 4, jobs in buffer = 1)
