Producing: JOB ID = 0, Burst Time = 29, Remaining Time = 29 (jobs produced = 1, jobs in buffer = 1)
Producing: JOB ID = 1, Burst Time = 44, Remaining Time = 44 (jobs produced = 2, jobs in buffer = 2)
Producing: JOB ID = 2, Burst Time = 73, Remaining Time = 73 (jobs produced = 3, jobs in buffer = 3)
Producing: JOB ID = 3, Burst Time = 80, Remaining Time = 80 (jobs produced = 4, jobs in buffer = 4)
Producing: JOB ID = 4, Burst Time = 24, Remaining Time = 24 (jobs produced = 5, jobs in buffer = 5)
Producing: JOB ID = 5, Burst Time = 71, Remaining Time = 71 (jobs produced = 6, jobs in buffer = 6)
Producing: JOB ID = 6, Burst Time = 56, Remaining Time = 56 (jobs produced = 7, jobs in buffer = 7)
Producing: JOB ID = 7, Burst Time = 40, Remaining Time = 40 (jobs produced = 8, jobs in buffer = 8)
Producing: JOB ID = 8, Burst Time = 70, Remaining Time = 70 (jobs produced = 9, jobs in buffer = 9)
Producing: JOB ID = 9, Burst Time = 2, Remaining Time = 2 (jobs produced = 10, jobs in buffer = 10)
Producing: JOB ID = 10, Burst Time = 42, Remaining Time = 42 (jobs produced = 11, jobs in buffer = 11)
Producing: JOB ID = 11, Burst Time = 41, Remaining Time = 41 (jobs produced = 12, jobs in buffer = 12)
Producing: JOB ID = 12, Burst Time = 6, Remaining Time = 6 (jobs produced = 13, jobs in buffer = 13)
Producing: JOB ID = 13, Burst Time = 26, Remaining Time = 26 (jobs produced = 14, jobs in buffer = 14)
Producing: JOB ID = 14, Burst Time = 96, Remaining Time = 96 (jobs produced = 15, jobs in buffer = 15)
Producing: JOB ID = 15, Burst Time = 5, Remaining Time = 5 (jobs produced = 16, jobs in buffer = 16)
Producing: JOB ID = 16, Burst Time = 43, Remaining Time = 43 (jobs produced = 17, jobs in buffer = 17)
Thread 1 removes: JOB ID = 0, Burst Time = 29, Start Time = 0 (jobs removed = 1, jobs in buffer = 16)
Producing: JOB ID = 17, Burst Time = 55, Remaining Time = 55 (jobs produced = 18, jobs in buffer = 16)
Thread 2 removes: JOB ID = 1, Burst Time = 44, Start Time = 0 (jobs removed = 2, jobs in buffer = 16)
Producing: JOB ID = 18, Burst Time = 80, Remaining Time = 80 (jobs produced = 19, jobs in buffer = 16)
Thread 3 removes: JOB ID = 2, Burst Time = 73, Start Time = 0 (jobs removed = 3, jobs in buffer = 16)
Thread 2 removes: JOB ID = 3, Burst Time = 80, Start Time = 44 (jobs removed = 4, jobs in buffer = 15)
Thread 3 removes: JOB ID = 4, Burst Time = 24, Start Time = 73 (jobs removed = 5, jobs in buffer = 14)
Thread 2 removes: JOB ID = 5, Burst Time = 71, Start Time = 124 (jobs removed = 6, jobs in buffer = 13)
Thread 3 removes: JOB ID = 6, Burst Time = 56, Start Time = 97 (jobs removed = 7, jobs in buffer = 12)
Thread 2 removes: JOB ID = 7, Burst Time = 40, Start Time = 195 (jobs removed = 8, jobs in buffer = 11)
Thread 3 removes: JOB ID = 8, Burst Time = 70, Start Time = 153 (jobs removed = 9, jobs in buffer = 10)
Thread 2 removes: JOB ID = 9, Burst Time = 2, Start Time = 235 (jobs removed = 10, jobs in buffer = 9)
Thread 3 removes: JOB ID = 10, Burst Time = 42, Start Time = 223 (jobs removed = 11, jobs in buffer = 8)
Thread 2 removes: JOB ID = 11, Burst Time = 41, Start Time = 237 (jobs removed = 12, jobs in buffer = 7)
Thread 3 removes: JOB ID = 12, Burst Time = 6, Start Time = 265 (jobs removed = 13, jobs in buffer = 6)
Thread 2 removes: JOB ID = 13, Burst Time = 26, Start Time = 278 (jobs removed = 14, jobs in buffer = 5)
Thread 3 removes: JOB ID = 14, Burst Time = 96, Start Time = 271 (jobs removed = 15, jobs in buffer = 4)
Thread 2 removes: JOB ID = 15, Burst Time = 5, Start Time = 304 (jobs removed = 16, jobs in buffer = 3)
Thread 3 removes: JOB ID = 16, Burst Time = 43, Start Time = 367 (jobs removed = 17, jobs in buffer = 2)
Thread 2 removes: JOB ID = 17, Burst Time = 55, Start Time = 309 (jobs removed = 18, jobs in buffer = 1)
Thread 3 removes: JOB ID = 18, Burst Time = 80, Start Time = 410 (jobs removed = 19, jobs in buffer = 0)
Producing: JOB ID = 19, Burst Time = 56, Remaining Time = 56 (jobs produced = 20, jobs in buffer = 1)
Thread 4 removes: JOB ID = 19, Burst Time = 56, Start Time = 0 (jobs removed = 20, jobs in buffer = 0)
Producing: JOB ID = 20, Burst Time = 99, Remaining Time = 99 (jobs produced = 21, jobs in buffer = 1)
Thread 1 removes: JOB ID = 20, Burst Time = 99, Start Time = 29 (jobs removed = 21, jobs in buffer = 0)
Producing: JOB ID = 21, Burst Time = 9, Remaining Time = 9 (jobs produced = 22, jobs in buffer = 1)
Producing: JOB ID = 22, Burst Time = 61, Remaining Time = 61 (jobs produced = 23, jobs in buffer = 2)
Producing: JOB ID = 23, Burst Time = 34, Remaining Time = 34 (jobs produced = 24, jobs in buffer = 3)
Producing: JOB ID = 24, Burst Time = 27, Remaining Time = 27 (jobs produced = 25, jobs in buffer = 4)
Producing: JOB ID = 25, Burst Time = 18, Remaining Time = 18 (jobs produced = 26, jobs in buffer = 5)
Producing: JOB ID = 26, Burst Time = 45, Remaining Time = 45 (jobs produced = 27, jobs in buffer = 6)
Producing: JOB ID = 27, Burst Time = 77, Remaining Time = 77 (jobs produced = 28, jobs in buffer = 7)
Producing: JOB ID = 28, Burst Time = 92, Remaining Time = 92 (jobs produced = 29, jobs in buffer = 8)
